image_url,shown_price,model_year,car_title,header
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grsupra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$61,020 as shown *",2025,GR Supra,"$56,250"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/gr86/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$35,270 as shown *",2025,GR86,"$30,000"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/grandhighlander/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$54,220 as shown *",2024,Grand Highlander,"$43,320"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grandhighlander/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$54,520 as shown *",2025,Grand Highlander,"$43,630"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/grandhighlanderhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$58,475 as shown *",2024,Grand Highlander Hybrid,"$45,020"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grandhighlanderhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$52,610 as shown *",2025,Grand Highlander Hybrid,"$45,380"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/highlander/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$46,815 as shown *",2025,Highlander,"$39,520"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/highlanderhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$52,680 as shown *",2025,Highlander Hybrid,"$46,020"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/landcruiser/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$62,300 as shown *",2024,Land Cruiser,"$55,950"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/landcruiser/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$61,820 as shown *",2025,Land Cruiser,"$56,700"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/mirai/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$67,540 as shown *",2024,Mirai,"$50,190"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/prius/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$36,365 as shown *",2024,Prius,"$27,950"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/prius/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$36,765 as shown *",2025,Prius,"$28,350"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/priusprime/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$39,670 as shown *",2024,Prius Prime,"$32,975"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/priuspluginhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$40,070 as shown *",2025,Prius Plug-in Hybrid,"$33,375"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/rav4/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$39,950 as shown *",2024,RAV4,"$28,675"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/rav4hybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$34,945 as shown *",2024,RAV4 Hybrid,"$31,725"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$37,155 as shown *",2025,RAV4,"$28,850"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4hybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$35,120 as shown *",2025,RAV4 Hybrid,"$31,900"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4pluginhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$51,170 as shown *",2025,RAV4 Plug-in Hybrid,"$43,865"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sequoia/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$80,860 as shown *",2025,Sequoia,"$62,425"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sienna/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$47,115 as shown *",2025,Sienna,"$39,185"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacoma/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$43,325 as shown *",2024,Tacoma,"$31,500"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacoma/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$42,900 as shown *",2025,Tacoma,"$31,590"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacomahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$64,900 as shown *",2024,Tacoma i-FORCE MAX,"$46,300"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacomahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$63,735 as shown *",2025,Tacoma i-FORCE MAX,"$46,320"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrown/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$45,950 as shown *",2025,Toyota Crown,"$41,440"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrownsignia/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$47,990 as shown *",2025,Toyota Crown Signia,"$43,590"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tundra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$56,905 as shown *",2024,Tundra,"$39,965"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$48,010 as shown *",2025,Tundra,"$40,090"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tundrahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$79,270 as shown *",2024,Tundra i-FORCE MAX,"$57,625"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundrahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$72,510 as shown *",2025,Tundra i-FORCE MAX,"$58,005"
https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/venza/base.png?bg=fff&fmt=webp&qlt=90&wid=345,"$40,405 as shown *",2024,Venza,"$35,070"
